site_code,latitude,longitude
EMR24,-29.911,159.0691
EMR33,-29.957959999999996,159.12759
EMR33,-29.95796,159.12759
GBR16,-23.24659,151.77309
GBR17,-23.24371,151.77568
GBR18,-23.202679999999997,150.96978
GBR18,-23.20268,150.96978
GBR19,-23.21627,150.9634
GBR210,-16.60383,145.96884
GBR217,-15.9758,145.8291
GBR218,-15.96846,145.81968
GBR219,-15.9609,145.80432
GBR22,-23.15658,151.0729
GBR220,-14.694729999999998,145.45921
GBR220,-14.69473,145.45921
GBR243,-23.53652,151.75731000000002
GBR243,-23.53652,151.75731
GBR244,-23.5341,151.74968
GBR247,-23.49845,151.7789
GBR248,-23.49835,151.7747
GBR250,-23.25245,151.94545
GBR252,-23.19801,150.96855
GBR253,-23.1957,150.93748
GBR256,-23.18698,150.9337
GBR257,-23.1778,151.91543
GBR263,-23.16335,150.92145
GBR27,-19.79517,149.07878
GBR3,-23.89929,152.39361
GBR41,-13.977329999999998,144.50067
GBR41,-13.97733,144.50067
GBR45,-12.28595,143.40371000000002
GBR45,-12.28595,143.40371
GBR46,-12.28241,143.41092
GBR48,-12.28091,143.40302
GBR49,-12.29055,143.40232
GBR55,-12.38375,143.76197
GBR56,-12.38175,143.75672
GBR57,-12.38391,143.77200000000002
GBR57,-12.38391,143.772
GBR62,-13.8185,144.28213
