"site_code","survey_year","species_name","percent_cover","sqrt_pcover","latitude","longitude","n_sites_byspp","n_obs_byspp","transect_id","n_site_species"
"LHI36",2014,"Isopora cuneata",3,1.73205080756888,-32,159,4,139,"LHI36_2014",4
"LHI36",2014,"Pocillopora damicornis",6.8,2.60768096208106,-32,159,4,459,"LHI36_2014",4
"CS207",2015,"Diploastrea heliopora",3,1.73205080756888,-10,145,4,179,"CS207_2015",4
"CS207",2015,"Stylophora pistillata",2,1.4142135623731,-10,145,4,576,"CS207_2015",4
"TS8",2015,"Porites lichen",6,2.44948974278318,-10,144,5,311,"TS8_2015",5
"LHI15",2016,"Pocillopora damicornis",0,0,NA,NA,5,459,"LHI15_2016",5
"LHI15",2016,"Porites heronensis",0,0,NA,NA,5,134,"LHI15_2016",5
"LHI14",2016,"Pocillopora damicornis",1,1,-32,159,6,459,"LHI14_2016",6
"LHI18",2016,"Isopora cuneata",18.2,4.26614580154031,-31,159,5,139,"LHI18_2016",5
"LHI18",2016,"Astrea curta",0.9,0.948683298050514,-31,159,5,207,"LHI18_2016",5
"LHI27",2016,"Pocillopora damicornis",1.6,1.26491106406735,-32,159,6,459,"LHI27_2016",6
"LHI27",2016,"Porites heronensis",2.2,1.48323969741913,-32,159,6,134,"LHI27_2016",6
"LHI27",2016,"Stylophora pistillata",3.15,1.77482393492988,-32,159,6,576,"LHI27_2016",6
"CS7",2016,"Pocillopora verrucosa",3,1.73205080756888,-19,152,6,446,"CS7_2016",6
"CS4",2016,"Coscinaraea columna",1,1,-19,152,6,134,"CS4_2016",6
"CS4",2016,"Goniastrea pectinata",2,1.4142135623731,-19,152,6,379,"CS4_2016",6
"CS4",2016,"Porites lichen",1.1,1.04880884817015,-19,152,6,311,"CS4_2016",6
"CS3",2016,"Coscinaraea columna",0,0,NA,NA,5,134,"CS3_2016",5
"CS3",2016,"Goniastrea pectinata",0,0,NA,NA,5,379,"CS3_2016",5
"CS3",2016,"Porites lichen",1,1,-19,152,5,311,"CS3_2016",5
"CS3",2016,"Stylophora pistillata",1,1,-19,152,5,576,"CS3_2016",5
"SI6",2016,"Acropora glauca",4.3,2.07364413533277,-30,153,4,98,"SI6_2016",4
"SI6",2016,"Goniastrea australensis",2.1,1.44913767461894,-30,153,4,154,"SI6_2016",4
"SI6",2016,"Turbinaria mesenterina",4.3,2.07364413533277,-30,153,4,72,"SI6_2016",4
"SI24",2016,"Turbinaria mesenterina",5.65,2.37697286480094,-30,153,4,72,"SI24_2016",4
"SI24",2016,"Acropora glauca",9.3,3.04959013639538,-30,153,4,98,"SI24_2016",4
"SI24",2016,"Platygyra daedalea",5.2,2.28035085019828,-30,153,4,154,"SI24_2016",4
"CS3",2017,"Coscinaraea columna",1.05,1.02469507659596,-19,152,5,134,"CS3_2017",5
"CS3",2017,"Goniastrea pectinata",1.76666666666667,1.32916013582513,-19,152,5,379,"CS3_2017",5
"CS3",2017,"Porites lichen",2,1.4142135623731,-19,152,5,311,"CS3_2017",5
"CS3",2017,"Stylophora pistillata",1.1,1.04880884817015,-19,152,5,576,"CS3_2017",5
"CS4",2017,"Coscinaraea columna",1,1,-19,152,6,134,"CS4_2017",6
"CS4",2017,"Goniastrea pectinata",2.05,1.43178210632764,-19,152,6,379,"CS4_2017",6
"CS4",2017,"Porites lichen",0,0,NA,NA,6,311,"CS4_2017",6
"CS7",2017,"Pocillopora verrucosa",0,0,NA,NA,6,446,"CS7_2017",6
"SI24",2017,"Turbinaria mesenterina",21.2,4.60434577328853,-30,153,4,72,"SI24_2017",4
"SI24",2017,"Acropora glauca",3,1.73205080756888,-30,153,4,98,"SI24_2017",4
"SI24",2017,"Platygyra daedalea",1,1,-30,153,4,154,"SI24_2017",4
"SI6",2017,"Acropora glauca",3.1,1.7606816861659,-30,153,4,98,"SI6_2017",4
"SI6",2017,"Goniastrea australensis",2,1.4142135623731,-30,153,4,154,"SI6_2017",4
"SI6",2017,"Turbinaria mesenterina",7.1,2.66458251889485,-30,153,4,72,"SI6_2017",4
"NMP11",2017,"Montipora aequituberculata",2.6,1.61245154965971,-23,114,4,90,"NMP11_2017",4
